127.0.0.1 - - [25/Sep/2024:17:57:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:53 +0530] "GET /Sriflix/Hastodeleteaddmovie.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "POST /Sriflix/AdminmovieShowcontroller HTTP/1.1" 200 10603
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "GET /Sriflix/Guest_and_srcs/Styles/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "GET /Sriflix/add_sign.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "GET /Sriflix/header.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "GET /Sriflix/Guest_and_srcs/JS/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "GET /Sriflix/Guest_and_srcs/Styles/admin1_home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "GET /Sriflix/Guest_and_srcs/Images/Image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:57:56 +0530] "GET /Guest_and_srcs/Images/moviebanner1.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:14 +0530] "GET /Sriflix/Hastodeleteaddmovie.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:25 +0530] "POST /Sriflix/AdminmovieShowcontroller HTTP/1.1" 200 10603
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:25 +0530] "GET /Sriflix/header.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:25 +0530] "GET /Guest_and_srcs/Images/moviebanner1.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:31 +0530] "GET /Sriflix/Hastodeleteaddmovie.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:32 +0530] "POST /Sriflix/AdminmovieShowcontroller HTTP/1.1" 200 10603
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:32 +0530] "GET /Sriflix/header.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:58:33 +0530] "GET /Guest_and_srcs/Images/moviebanner1.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:08 +0530] "GET /Sriflix/Hastodeleteaddmovie.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:10 +0530] "POST /Sriflix/AdminmovieShowcontroller HTTP/1.1" 200 22347
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:10 +0530] "GET /Sriflix/header.css HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:10 +0530] "GET /Sriflix/UploadedImages/Oppenheimer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:10 +0530] "GET /Sriflix/UploadedImages/deadpool%20and%20wolwerine.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:10 +0530] "GET /Guest_and_srcs/Images/moviebanner1.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:13 +0530] "POST /Sriflix/MoviewatchServelet HTTP/1.1" 200 4299
0:0:0:0:0:0:0:1 - - [25/Sep/2024:17:59:13 +0530] "GET /Sriflix/your-movie-file.mp4 HTTP/1.1" 404 782
